exp_idx,dropout,channels,freq_mask,time_mask,num_masks,mixup_alpha,lr,pos_weight,val_loss,val_acc,test_loss,test_acc
32,0.5,16,10,10,1,0.2,0.0001,1.55,0.5240123271942139,0.7666666666666667,0.5476407726605733,0.7333333333333333
33,0.5,32,10,10,1,0.2,0.001,1.2,0.4122226337591807,0.825,0.528011167049408,0.75
34,0.5,32,10,10,1,0.2,0.001,1.4,0.41206741134325664,0.8,0.5224529902140299,0.75
35,0.5,32,10,10,1,0.2,0.001,1.5,0.41338496208190917,0.8083333333333333,0.5234378417332967,0.7416666666666667
36,0.5,32,10,10,1,0.2,0.001,1.55,0.41093432903289795,0.8166666666666667,0.5161335706710816,0.7416666666666667
37,0.5,32,10,10,1,0.2,0.0001,1.2,0.4693092584609985,0.775,0.547704299290975,0.75
38,0.5,32,10,10,1,0.2,0.0001,1.4,0.4688377817471822,0.7916666666666666,0.5367102066675822,0.775
39,0.5,32,10,10,1,0.2,0.0001,1.5,0.4674158334732056,0.775,0.5305858731269837,0.7833333333333333
40,0.5,32,10,10,1,0.2,0.0001,1.55,0.4665018796920776,0.775,0.5275591731071472,0.7916666666666666
41,0.5,64,10,10,1,0.2,0.001,1.2,0.38217770457267763,0.8166666666666667,0.48929285208384193,0.775
42,0.5,64,10,10,1,0.2,0.001,1.4,0.38053164482116697,0.8166666666666667,0.48394224246342976,0.7833333333333333
43,0.5,64,10,10,1,0.2,0.001,1.5,0.3792419532934825,0.8083333333333333,0.4770282506942749,0.7916666666666666
44,0.5,64,10,10,1,0.2,0.001,1.55,0.3780022303263346,0.8083333333333333,0.47749473253885905,0.7916666666666666
45,0.5,64,10,10,1,0.2,0.0001,1.2,0.4273001988728841,0.8166666666666667,0.5545477430025737,0.7416666666666667
46,0.5,64,10,10,1,0.2,0.0001,1.4,0.4275837739308675,0.8,0.5458724737167359,0.725
47,0.5,64,10,10,1,0.2,0.0001,1.5,0.42649547855059305,0.7833333333333333,0.540982715288798,0.7416666666666667
48,0.5,64,10,10,1,0.2,0.0001,1.55,0.42547662456830343,0.7833333333333333,0.5372026920318603,0.7416666666666667
